resource,keyword
https://vivo.invid.udl.cat/individual/UDL-07001665,Microscopic techniques
https://vivo.invid.udl.cat/individual/UDL-00000143,Historia de España
https://vivo.invid.udl.cat/individual/UDL-00000726,Derecho civil de Catalunya
https://vivo.invid.udl.cat/individual/UDL-00001013,motor neuron
https://vivo.invid.udl.cat/individual/UDL-07003358,eHealth
https://vivo.invid.udl.cat/individual/UDL-00000865,Quality of Life
https://vivo.invid.udl.cat/individual/UDL-07000685,contemporary history
https://vivo.invid.udl.cat/individual/UDL-00001013,muscle
https://vivo.invid.udl.cat/individual/UDL-07003062,foster care
https://vivo.invid.udl.cat/individual/UDL-07000804,animal genomics
https://vivo.invid.udl.cat/individual/UDL-07001877,TRAINING FOR TRAINERS
https://vivo.invid.udl.cat/individual/UDL-00000543,contrato de trabajo
https://vivo.invid.udl.cat/individual/UDL-00000737,water balance
https://vivo.invid.udl.cat/individual/UDL-00000252,políticas de sostenibilidad
https://vivo.invid.udl.cat/individual/UDL-00000389,databases
https://vivo.invid.udl.cat/individual/UDL-00000283,skin
https://vivo.invid.udl.cat/individual/UDL-05000035,cover plants in vineyard
https://vivo.invid.udl.cat/individual/UDL-07002681,Discourse Analysis
https://vivo.invid.udl.cat/individual/UDL-00001743,gravel bed rivers
https://vivo.invid.udl.cat/individual/UDL-00000489,political geography
https://vivo.invid.udl.cat/individual/UDL-00001068,Derecho contractual europeo
https://vivo.invid.udl.cat/individual/UDL-07002635,pancreas
https://vivo.invid.udl.cat/individual/UDL-00000853,didáctica y organización escolar
https://vivo.invid.udl.cat/individual/UDL-00000691,Medieval art
https://vivo.invid.udl.cat/individual/UDL-00001206,cell biology
https://vivo.invid.udl.cat/individual/UDL-00005029,cell biology
https://vivo.invid.udl.cat/individual/UDL-07002599,cell biology
https://vivo.invid.udl.cat/individual/UDL-07005035,cell biology
https://vivo.invid.udl.cat/individual/UDL-05000056,cell biology
https://vivo.invid.udl.cat/individual/UDL-07001057,cell biology
https://vivo.invid.udl.cat/individual/UDL-00005034,cell biology
https://vivo.invid.udl.cat/individual/UDL-00000702,cell biology
https://vivo.invid.udl.cat/individual/UDL-00000226,cell biology
https://vivo.invid.udl.cat/individual/UDL-07000241,cell biology
https://vivo.invid.udl.cat/individual/UDL-07002011,Physical Activity
https://vivo.invid.udl.cat/individual/UDL-07004737,Building Engineering
https://vivo.invid.udl.cat/individual/UDL-07000540,Neosporosis
https://vivo.invid.udl.cat/individual/UDL-07004508,critical ethnography
https://vivo.invid.udl.cat/individual/UDL-07003062,Child Rights
https://vivo.invid.udl.cat/individual/UDL-00000222,catalan studies
https://vivo.invid.udl.cat/individual/UDL-07000554,Systems and Health Services
https://vivo.invid.udl.cat/individual/UDL-00000400,education
https://vivo.invid.udl.cat/individual/UDL-00000400,Flipped classroom
https://vivo.invid.udl.cat/individual/UDL-00001005,precision fructiculture
https://vivo.invid.udl.cat/individual/UDL-00000865,Health
https://vivo.invid.udl.cat/individual/UDL-00000833,Digital Humanities
https://vivo.invid.udl.cat/individual/UDL-06000149,Forest ecosystems
https://vivo.invid.udl.cat/individual/UDL-07000642,endocrinology
https://vivo.invid.udl.cat/individual/UDL-07005425,inmigration
https://vivo.invid.udl.cat/individual/UDL-05000559,Sleep apnea
https://vivo.invid.udl.cat/individual/UDL-00001396,weed management
https://vivo.invid.udl.cat/individual/UDL-05000035,weed management
https://vivo.invid.udl.cat/individual/UDL-07001883,Geometric morphometrics
https://vivo.invid.udl.cat/individual/UDL-07003957,Family leisure
https://vivo.invid.udl.cat/individual/UDL-06000650,Literaturas española e hispanoamericanas
https://vivo.invid.udl.cat/individual/UDL-07001511,reproductive biology
https://vivo.invid.udl.cat/individual/UDL-07004737,Construction Materials
https://vivo.invid.udl.cat/individual/UDL-05000044,fluency
https://vivo.invid.udl.cat/individual/UDL-00000759,composting
https://vivo.invid.udl.cat/individual/UDL-00001098,biotechnology & applied microbiology
https://vivo.invid.udl.cat/individual/UDL-00005023,biotechnology & applied microbiology
https://vivo.invid.udl.cat/individual/UDL-00000119,biotechnology & applied microbiology
https://vivo.invid.udl.cat/individual/UDL-05000377,biotechnology & applied microbiology
https://vivo.invid.udl.cat/individual/UDL-05000685,biotechnology & applied microbiology
https://vivo.invid.udl.cat/individual/UDL-00000570,Literatura en prensa
https://vivo.invid.udl.cat/individual/UDL-00000467,colonic metabolism
https://vivo.invid.udl.cat/individual/UDL-00000467,microbiome
https://vivo.invid.udl.cat/individual/UDL-00000467,polyphenols
https://vivo.invid.udl.cat/individual/UDL-00000467,phenol metabolism
https://vivo.invid.udl.cat/individual/UDL-00000467,ultra-performance liquid chromatography mass spectrometry
https://vivo.invid.udl.cat/individual/UDL-00000467,wine
https://vivo.invid.udl.cat/individual/UDL-07005045,android
https://vivo.invid.udl.cat/individual/UDL-00000886,clinical dermatology
https://vivo.invid.udl.cat/individual/UDL-07001004,medical physiology
https://vivo.invid.udl.cat/individual/UDL-00000281,quality services
https://vivo.invid.udl.cat/individual/UDL-00000154,landscape archaeology
https://vivo.invid.udl.cat/individual/UDL-07005601,Insomnia
https://vivo.invid.udl.cat/individual/UDL-00000445,climate change
https://vivo.invid.udl.cat/individual/UDL-00000737,climate change
https://vivo.invid.udl.cat/individual/UDL-07005349,Learning styles and philosophical orientations
https://vivo.invid.udl.cat/individual/UDL-06000001,decentralized applications
https://vivo.invid.udl.cat/individual/UDL-07001804,bioinformatics
https://vivo.invid.udl.cat/individual/UDL-07003101,Physical therapy
https://vivo.invid.udl.cat/individual/UDL-07004996,Older people
https://vivo.invid.udl.cat/individual/UDL-07004996,Ageing
https://vivo.invid.udl.cat/individual/UDL-00000528,pharmacology & pharmacy
https://vivo.invid.udl.cat/individual/UDL-07001404,cryptography
https://vivo.invid.udl.cat/individual/UDL-00000128,cryptography
https://vivo.invid.udl.cat/individual/UDL-05000559,genetic
https://vivo.invid.udl.cat/individual/UDL-07004307,Sociología de la Educación
https://vivo.invid.udl.cat/individual/UDL-00000635,pheromones
https://vivo.invid.udl.cat/individual/UDL-00000445,organic carbon
https://vivo.invid.udl.cat/individual/UDL-00001073,Latin America
https://vivo.invid.udl.cat/individual/UDL-07004186,Social and Economic History
https://vivo.invid.udl.cat/individual/UDL-00000543,igualdad
https://vivo.invid.udl.cat/individual/UDL-06000095,plant ecophysiology
https://vivo.invid.udl.cat/individual/UDL-00001013,spinal muscular atrophy
https://vivo.invid.udl.cat/individual/UDL-00001253,social issues
https://vivo.invid.udl.cat/individual/UDL-07001877,social issues
https://vivo.invid.udl.cat/individual/UDL-00000741,social issues
https://vivo.invid.udl.cat/individual/UDL-00001305,social issues
https://vivo.invid.udl.cat/individual/UDL-00000704,social issues
https://vivo.invid.udl.cat/individual/UDL-00000847,fruit and vegetable matrices
https://vivo.invid.udl.cat/individual/UDL-05000330,climate change and land use
https://vivo.invid.udl.cat/individual/UDL-00000139,emotion regulation
https://vivo.invid.udl.cat/individual/UDL-07004759,miRNA
https://vivo.invid.udl.cat/individual/UDL-07004892,Sociologia
https://vivo.invid.udl.cat/individual/UDL-07007120,comunicación
https://vivo.invid.udl.cat/individual/UDL-00000635,olfaction
https://vivo.invid.udl.cat/individual/UDL-07002541,Educacion
https://vivo.invid.udl.cat/individual/UDL-00000759,animal waste management
https://vivo.invid.udl.cat/individual/UDL-07005387,LifeLong Learning
https://vivo.invid.udl.cat/individual/UDL-00000865,Intercultural Education
https://vivo.invid.udl.cat/individual/UDL-07006624,democracia
https://vivo.invid.udl.cat/individual/UDL-00001024,constructions
https://vivo.invid.udl.cat/individual/UDL-07001784,social networks
https://vivo.invid.udl.cat/individual/UDL-07006687,social interaction
https://vivo.invid.udl.cat/individual/UDL-07005585,School libraries
https://vivo.invid.udl.cat/individual/UDL-00001132,environmental science
https://vivo.invid.udl.cat/individual/UDL-07002437,Aspergillus
https://vivo.invid.udl.cat/individual/UDL-06000650,Hispanic Literatures
https://vivo.invid.udl.cat/individual/UDL-07005045,data mining
https://vivo.invid.udl.cat/individual/UDL-00000624,data mining
https://vivo.invid.udl.cat/individual/UDL-07006706,Heridas
https://vivo.invid.udl.cat/individual/UDL-07006663,biochar
https://vivo.invid.udl.cat/individual/UDL-00000762,animal models
https://vivo.invid.udl.cat/individual/UDL-00000466,gravel-bed rivers
https://vivo.invid.udl.cat/individual/UDL-00000110,Friedreich ataxia
https://vivo.invid.udl.cat/individual/UDL-07004181,Private Law
https://vivo.invid.udl.cat/individual/UDL-06000047,Traditional Games
https://vivo.invid.udl.cat/individual/UDL-00001068,Derecho de Seguros
https://vivo.invid.udl.cat/individual/UDL-00001206,apoptosis
https://vivo.invid.udl.cat/individual/UDL-00000702,apoptosis
https://vivo.invid.udl.cat/individual/UDL-00000833,Spanish Civil War
https://vivo.invid.udl.cat/individual/UDL-07002681,Internationalisation
https://vivo.invid.udl.cat/individual/UDL-07005425,occupational health
https://vivo.invid.udl.cat/individual/UDL-00000153,nutrition & dietetics
https://vivo.invid.udl.cat/individual/UDL-06001234,nutrition & dietetics
https://vivo.invid.udl.cat/individual/UDL-07000762,nutrition & dietetics
https://vivo.invid.udl.cat/individual/UDL-00000725,nutrition & dietetics
https://vivo.invid.udl.cat/individual/UDL-00001065,theatre studies
https://vivo.invid.udl.cat/individual/UDL-06001281,Archaeology
https://vivo.invid.udl.cat/individual/UDL-05000292,European Private law
https://vivo.invid.udl.cat/individual/UDL-00001644,Non-wood forest products
https://vivo.invid.udl.cat/individual/UDL-06000297,aging
https://vivo.invid.udl.cat/individual/UDL-00001008,aging
https://vivo.invid.udl.cat/individual/UDL-07004203,aging
https://vivo.invid.udl.cat/individual/UDL-00000654,aging
https://vivo.invid.udl.cat/individual/UDL-05000120,Neurology
https://vivo.invid.udl.cat/individual/UDL-07006706,Health economics
https://vivo.invid.udl.cat/individual/UDL-00000648,cereales
https://vivo.invid.udl.cat/individual/UDL-06001281,Arqueobotanique
https://vivo.invid.udl.cat/individual/UDL-07004307,Educación y género
https://vivo.invid.udl.cat/individual/UDL-07001877,Theory and methods of education
https://vivo.invid.udl.cat/individual/UDL-00000040,Micologia forestal
https://vivo.invid.udl.cat/individual/UDL-06000149,birds
https://vivo.invid.udl.cat/individual/UDL-06000130,nod mice
https://vivo.invid.udl.cat/individual/UDL-07004307,Aprenentatge Servei
https://vivo.invid.udl.cat/individual/UDL-07005037,Inspección escolar
https://vivo.invid.udl.cat/individual/UDL-06000070,meat quality
https://vivo.invid.udl.cat/individual/UDL-00000354,Historiografia lingüística espanyola
https://vivo.invid.udl.cat/individual/UDL-07004707,User-generated content
