uri,labels
http://dbpedia.org/resource/Asphalt,"[{'keyword': 'asphalt mixture', 'language': 'en'}, {'keyword': 'asphalt', 'language': 'en'}, {'keyword': 'asfalt', 'language': 'ca'}, {'keyword': 'betum (geologia)', 'language': 'ca'}, {'keyword': 'asfalto', 'language': 'es'}, {'keyword': 'betún', 'language': 'es'}]"
http://dbpedia.org/resource/Metabolism,"[{'keyword': 'colonic metabolism', 'language': 'en'}, {'keyword': 'metabolism', 'language': 'en'}, {'keyword': 'metabolisme', 'language': 'ca'}, {'keyword': 'metabolismo', 'language': 'es'}]"
http://dbpedia.org/resource/Microbiota,"[{'keyword': 'microbiome', 'language': 'en'}, {'keyword': 'microbiota', 'language': 'ca'}, {'keyword': 'microbiota', 'language': 'en'}, {'keyword': 'microbioma', 'language': 'es'}]"
http://dbpedia.org/resource/Polyphenol,"[{'keyword': 'polyphenols', 'language': 'en'}, {'keyword': 'polifenol', 'language': 'ca'}, {'keyword': 'polifenol', 'language': 'es'}, {'keyword': 'polyphenol', 'language': 'en'}]"
http://dbpedia.org/resource/Phenol,"[{'keyword': 'phenol metabolism', 'language': 'en'}, {'keyword': 'fenol', 'language': 'ca'}, {'keyword': 'phenol', 'language': 'en'}, {'keyword': 'fenol', 'language': 'es'}]"
http://dbpedia.org/resource/Mass_spectrometry,"[{'keyword': 'ultra-performance liquid chromatography mass spectrometry', 'language': 'en'}, {'keyword': 'mass spectrometry', 'language': 'en'}, {'keyword': 'espectrometria de masses', 'language': 'ca'}, {'keyword': 'espectrómetro de masas', 'language': 'es'}]"
http://dbpedia.org/resource/Wine,"[{'keyword': 'wine', 'language': 'en'}, {'keyword': 'vi', 'language': 'ca'}, {'keyword': 'vino', 'language': 'es'}]"
http://www.wikidata.org/entity/Q282,"[{'keyword': 'vino', 'language': 'en'}, {'keyword': 'wine', 'language': 'en'}, {'keyword': 'vino', 'language': 'es'}, {'keyword': 'vi', 'language': 'ca'}]"
http://www.wikidata.org/entity/Q191089,"[{'keyword': 'older people', 'language': 'en'}, {'keyword': 'old age', 'language': 'en'}, {'keyword': 'tercera edad', 'language': 'es'}, {'keyword': 'vellesa', 'language': 'ca'}, {'keyword': 'growing old', 'language': 'en'}, {'keyword': 'vejez', 'language': 'es'}]"
http://www.wikidata.org/entity/Q185836,"[{'keyword': 'ageing', 'language': 'en'}, {'keyword': 'aged', 'language': 'en'}, {'keyword': 'age', 'language': 'en'}, {'keyword': 'edat', 'language': 'ca'}, {'keyword': 'edad', 'language': 'es'}, {'keyword': 'edad biológica', 'language': 'es'}]"
http://dbpedia.org/resource/Compositional_data,"[{'keyword': 'compositional data analysis', 'language': 'en'}, {'keyword': 'compositional data', 'language': 'en'}]"
http://dbpedia.org/resource/Syllable,"[{'keyword': 'coda', 'language': 'en'}, {'keyword': 'síl·laba', 'language': 'ca'}, {'keyword': 'sílaba', 'language': 'es'}, {'keyword': 'syllable', 'language': 'en'}]"
http://dbpedia.org/resource/Informatica,"[{'keyword': 'informatica', 'language': 'en'}, {'keyword': 'informatica (empresa)', 'language': 'es'}]"
http://www.wikidata.org/entity/Q66458784,"[{'keyword': 'ordenador', 'language': 'en'}, {'keyword': 'primera guerra de bremen', 'language': 'es'}]"
http://www.wikidata.org/entity/Q179310,"[{'keyword': 'computación', 'language': 'es'}, {'keyword': 'computing', 'language': 'en'}, {'keyword': 'informàtica', 'language': 'ca'}, {'keyword': 'informática', 'language': 'es'}]"
http://www.wikidata.org/entity/Q131303,"[{'keyword': 'hola', 'language': 'es'}, {'keyword': 'hola mundo', 'language': 'es'}, {'keyword': 'hola món', 'language': 'ca'}, {'keyword': '""hello, world!"" program', 'language': 'en'}]"
